"rNames.tag","x.0.m.theta","x.0.s.area","x.0.s.perimeter","x.0.s.radius.sd","x.0.s.radius.min","x.a.b.mad","x.a.b.q001","x.a.m.eccentricity","x.a.m.theta","x.Ba.b.mad","x.Ba.b.q001","x.Ba.b.q005","x.Ba.b.q05","x.Ba.b.q099","x.Ba.m.cx","x.Ba.m.cy","x.Ba.m.theta","x.Ba.h.asm.s1","x.Ba.h.cor.s1","x.Ba.h.sen.s1","x.Ba.h.f13.s1","x.Ba.h.asm.s2","x.Ba.h.cor.s2","x.Ba.h.idm.s2","x.Ba.h.f12.s2","h.asm.s1","h.f13.s1","h.var.s2","h.sen.s2","h.dva.s2"
"istr",-1.18555968580126,54445,1348,20.2327392400932,64.7055429581672,0.0465129411764706,0.364705882352941,0.567432364005704,-1.19174942832384,0.109755026834615,-0.620734130110534,-0.14152814146039,0.303567219517803,1.04641714969125,143.895210328543,180.368852760659,-1.21277121326898,0.0179097702879092,0.761849443862788,1.53127395414689,0.673293867089503,0.0108215200845822,0.334598889067093,0.352182529330806,0.102778578182368,0.066452772621484,0.652223153939673,5.46218835618258,1.13617659288466,4.03746090018543
"lmas",1.20585703014047,85068,4341,36.0110452748243,81.1773623091349,0.0465129411764706,0.372549019607843,0.695681931962479,1.2082763369727,0.146985289127314,-0.436385528646873,-0.116628654649043,0.279154088844064,0.866920883114009,232.022839617167,302.529191271821,1.21190390403528,0.0119705403064337,0.754671566463531,1.56661907529239,0.611657954873892,0.00649098249921625,0.309026524995625,0.27664133108744,0.0517795484724248,0.0618429018176773,0.543284153519314,4.20176174078285,1.06177715590561,3.43276767183494
"poll",-0.975981658917907,55636,1048,22.4280461441639,83.2701672520296,0.0697694117647058,0.380392156862745,0.766776812431667,-0.990705612791618,0.214764562862075,-0.43704529923238,-0.177240485263642,0.275365463184228,0.947124171936377,158.984420498565,240.298759684604,-0.999767849356333,0.0143329450905631,0.757479398127793,1.61461491084283,0.583653769446337,0.00637259545989827,0.314315712577641,0.227948450588761,0.0331005687872243,0.0336638922383237,0.575318981740236,5.14376240600701,1.15975883906536,4.26962992686085
"snep",0.474597557758157,73006,1092,7.36482247957627,127.886421109392,0.0581411764705882,0.36078431372549,0.326709620955315,0.54054961439982,0.0808382993238426,-0.179665779765696,0.043267025362748,0.276078047500725,0.627094345412331,175.867009702003,182.216321822224,0.554442289993199,0.0220495451267104,0.785861725786533,1.39836874225092,0.639457592159935,0.0145943662837633,0.382227306975594,0.386798926761003,0.0766006151487749,0.0717348547414064,0.718456343111639,4.48481543773102,1.14102758080819,1.32945252945253
"spsp",-0.954780585960783,108715,4383,33.9970334170193,88.6509091603844,0.0465129411764706,0.356862745098039,0.436686584736589,-0.94777731300466,0.141985599450788,-0.578959263463744,-0.160370023722941,0.294487079868597,1.00064319313517,294.195337414551,255.633464034314,-0.92279410720041,0.0138797536669456,0.749126583964445,1.57485917597121,0.641918343059977,0.00777526728950844,0.331866034048533,0.305934862396855,0.0752181796692541,0.0589011657976793,0.610374167510057,5.50488485297553,1.13532240556669,4.65897676891383
"squa",-1.19025213888138,32661,1611,25.0168985173668,54.0367582100794,0.0872117647058823,0.250980392156863,0.843791795932825,-1.17602218302367,0.215129433998741,-0.538601293578307,-0.25209949851032,0.149050435645001,0.809668542363126,139.104213338077,220.97836098725,-1.15306021226928,0.0461026984545011,0.788210696534831,1.45556206683895,0.590001332243853,0.0231375522887711,0.418017178002666,0.303405399466193,0.0474507590756414,0.0269647548865931,0.635904758166306,6.99979050435827,1.24585524954394,3.98778932602181
"bspp",-1.07990393999779,25637,572,6.06292352069373,76.4757740398128,0.0406988235294117,0.262745098039216,0.303150409635193,-0.937362461520317,0.0494983783720348,-0.416923155882651,-0.178507210835804,0.181269227376794,0.399864382444012,102.253931623944,102.568768945745,-1.29665734062883,0.0569455608230207,0.800864413126319,1.17090924522812,0.653445602281518,0.0410583855479488,0.520027520713268,0.537242272439202,0.141137220785248,0.106935698021215,0.698036259594186,3.41427751327711,1.03166585570214,1.05203000357185
"espp",-0.3376877882444,17795,1017,7.70820564773882,57.8056856151911,0.0930258823529412,0.243137254901961,0.407974233904816,-0.201315839685701,0.30537075417679,-0.66350491224351,-0.390383207713408,0.156933978378711,0.966323740209029,133.729619873786,140.578140852375,0.0811355769810684,0.0572163758136549,0.736671346252107,1.49996291188947,0.5284534179345,0.025358411061382,0.280692272405448,0.254246756816543,0.0229460042238908,0.0189635443436983,0.58029993880161,7.90416647271602,1.2694160970647,6.38840886381003
"iacu",-1.29072570464443,25500,1308,15.7386989520613,60.6733632892635,0.069769411764706,0.36078431372549,0.429142955274256,-1.28747999564703,0.25880997884986,-0.671803471552399,-0.278880460827688,0.286829426779269,1.01483670937889,146.692995306982,168.591838336414,-1.24011029650796,0.0177474975038994,0.764061604929851,1.64047491969992,0.595762055926371,0.00748753918869419,0.333482047548733,0.22181218879362,0.0395560333666957,0.0276084158097914,0.592967462737793,7.29966904446324,1.23622485856053,6.43084954525062
"ipat",1.52786705395041,81147,1522,27.8838698935528,85.7240052094388,0.0465129411764706,0.407843137254902,0.713488525466708,1.52881689279077,0.125718248130696,-0.516191450987132,-0.1725148501888,0.304037637642226,1.07483274212938,158.353589256896,235.015124998113,1.53142810357658,0.0160628545327458,0.793172728357023,1.55305435695337,0.675297737129412,0.00945215073218248,0.400506684455827,0.335113158279322,0.0953529651170711,0.0621206755734361,0.642641884084434,4.8438037944435,1.12673508488709,3.56991265610531
"istr",1.05527618349992,35069,898,16.7997595469747,69.9004942708564,0.0465129411764706,0.465411764705882,0.661291296836933,1.04517072890638,0.130118545703898,-0.264039955450483,0.0139389091838967,0.341174109869376,0.866106718430591,129.782621962247,145.893746633163,1.03119838380152,0.0108611947732261,0.82444357152965,1.56868277897039,0.667708291952152,0.00659095913880631,0.47082999366694,0.30594222777161,0.0784723662605515,0.0634408660976366,0.639836810861915,4.76825085975863,1.12017154236139,2.45652932960894
"istr",0.215068075174549,40830,1192,11.4844745245948,81.6726617764306,0.063955294117647,0.290196078431373,0.356755951658305,0.174086645509728,0.199443136982785,-0.816351617217065,-0.289670183782595,0.295305397990666,1.07708229629936,146.005816445714,131.893297895337,0.131544994089083,0.0143131254029731,0.756563267305364,1.61733587845511,0.627959834684563,0.00706637317912192,0.343024823223122,0.265045546197581,0.0629877185073341,0.0348698173061864,0.635255142587751,8.34542190561269,1.25221822383895,6.58624492455762
