"rNames.tag","s.area","s.perimeter","s.radius.sd","s.radius.min","h.asm.s1","h.cor.s1","h.var.s2","h.sen.s2","h.dva.s2","m.eccentricity","m.theta","b.mad","b.q005"
"bspp",36336,642,12.9585858011998,90.4938930149115,0.0849786549898343,0.869521932554601,4.36265058149099,1.06968042009262,1.40621249755798,0.690759104907756,0.0715483168598465,0.0406988235294118,0.219607843137255
"nlab",60456,1682,22.5601747567435,60.5767140783511,0.0924383372909111,0.740384472230317,3.19033320395525,0.989601829572259,2.24263042377174,0.634340694537534,-1.18418997166017,0.034884705882353,0.537254901960784
"iacu",36154,1627,22.9387250115393,53.5981473136806,0.0457229789391051,0.749494111810429,7.26615144963919,1.19484669854541,7.22207595226512,0.459222413748454,0.472621010518271,0.0523270588235294,0.443137254901961
"ipat",140653,2334,37.2238957547826,140.633656649509,0.0663210054263553,0.827312899195937,5.93176789413971,1.15732068984745,3.86689714779602,0.737646218286264,-0.193772421901764,0.0406988235294118,0.466666666666667
"istr",44829,983,12.6050004876363,90.2942916035766,0.0349933796335436,0.832539036047569,6.4984542610638,1.2334781252406,3.61897744019952,0.626144068529842,1.36906113456145,0.0755835294117646,0.372549019607843
"snep",59500,1279,16.8608592264877,103.78008377761,0.0469524539496607,0.808849190539299,6.2295212919939,1.18542875016103,3.91033411298721,0.445203778082243,-0.149955112707963,0.0639552941176472,0.380392156862745
"bspp",59382,910,15.0935945958,116.494300983244,0.0551894087845699,0.9054969456233,5.75322981731528,1.19263248728993,1.46944690718134,0.666870601370365,-1.08865660519463,0.0755835294117647,0.250980392156863
"iacu",29195,1233,15.6645822741647,66.9890225152759,0.0725678776271526,0.815154020032914,4.34016721871423,1.07102348505955,2.43742255266419,0.553976311169235,-0.00965087981430863,0.0406988235294118,0.533333333333333
"ipat",53369,953,5.58148761919869,118.59133132164,0.0386815203998926,0.865990800492495,8.83704619924347,1.26661050842695,4.34517226307888,0.298139870597032,-0.565822606207787,0.0639552941176472,0.352941176470588
"snep",53261,1074,19.3349459971581,97.8732222662454,0.0251404057462871,0.83444082500905,8.74017570808386,1.29631219927355,5.27743338356191,0.692051612917258,-1.53470803872919,0.0930258823529412,0.305882352941176
"bspp",28162,599,2.49000221269725,89.703137406109,0.150137560451505,0.83644411142506,2.65209758014808,0.898231746666364,0.868712055507372,0.342448828638353,1.16313874635906,0.0290705882352941,0.286274509803922
"iacu",30436,1314,21.3506960685404,61.8278854580904,0.0204030727017718,0.778634961842558,11.0414742826598,1.32792179010552,10.3644501712387,0.757854776715839,0.0485274018770982,0.0872117647058824,0.411764705882353
"poll",109362,1461,26.4280498032544,130.42189493427,0.0362439622737548,0.753041769964655,5.18180214528102,1.15653298594581,4.26293896340392,0.676482187186039,-0.0552246362248044,0.063955294117647,0.454901960784314
"ipat",84720,1452,34.1078739840546,77.2916564452438,0.0854525548611403,0.835722645105011,4.22464028643129,1.07047998745307,2.00021523634146,0.662807124658175,-1.17597982111721,0.0406988235294116,0.447058823529412
"bspp",20087,571,4.99699107777776,68.8834445217699,0.0740186765442218,0.842026671783221,3.42129512794085,1.06918692648384,1.21476168675924,0.494005084209252,-0.16328920233683,0.0465129411764706,0.368627450980392
"iacu",25258,977,13.3098583740949,52.9244172524801,0.0374400258650786,0.759789608973759,5.64448200051472,1.17108343968972,4.91129427125837,0.322750046995012,-0.909790499171645,0.0581411764705882,0.498039215686275
"ipat",109908,1714,39.2238135010364,102.123513226833,0.0406830935231789,0.854669859359568,6.25101412168986,1.23727707707262,3.03839666725039,0.790643576508721,-1.00531855580353,0.0697694117647059,0.364705882352941
"bspp",40629,732,3.21775993970853,107.356149687131,0.0807465995871401,0.902469500604646,4.23343234120113,1.10163614414304,1.02210731414868,0.295369594988773,-0.279662303172204,0.0523270588235294,0.298039215686275
"iacu",25078,1182,13.1045242672253,67.9658894777008,0.0439341246243779,0.727934836648513,5.81794707280708,1.14599469321242,5.6389955808863,0.610018066277464,1.4726777339813,0.0523270588235294,0.458823529411765
"bspp",27202,593,4.5399074208461,83.4131206261242,0.0607168471638998,0.87499012153504,4.82268789390591,1.15290329944248,1.6517094017094,0.457073235823625,-1.25205330956843,0.0581411764705883,0.309803921568627
